scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
small_skirmish,126143,16.600,60.24,0.100,0.000,0.000,36,90.8
small_skirmish,126159,16.700,59.88,0.100,0.000,0.000,36,90.8
small_skirmish,126176,16.700,59.88,0.100,0.000,0.000,36,97.4
small_skirmish,126193,17.000,58.82,0.200,0.000,0.000,36,97.4
small_skirmish,126209,16.300,61.35,0.100,0.000,0.000,36,97.4
small_skirmish,126226,16.600,60.24,0.200,0.000,0.000,36,97.4
small_skirmish,126243,16.800,59.52,0.000,0.000,0.000,36,48.6
small_skirmish,126259,16.500,60.61,0.100,0.100,0.000,36,48.6
small_skirmish,126276,16.800,59.52,0.100,0.100,0.000,36,48.6
small_skirmish,126293,16.800,59.52,0.200,0.000,0.000,36,53.6
small_skirmish,126309,16.500,60.61,0.100,0.100,0.000,36,53.6
small_skirmish,126326,16.900,59.17,0.000,0.000,0.000,36,53.6
small_skirmish,126343,16.500,60.61,0.000,0.100,0.000,36,53.6
small_skirmish,126359,16.700,59.88,0.100,0.000,0.000,36,60.2
small_skirmish,126376,16.700,59.88,0.100,0.000,0.000,36,60.2
small_skirmish,126393,16.700,59.88,0.100,0.000,0.000,36,60.2
small_skirmish,126410,16.800,59.52,0.000,0.100,0.000,36,65.1
small_skirmish,126426,16.600,60.24,0.100,0.100,0.000,36,65.1
small_skirmish,126443,16.700,59.88,0.000,0.100,0.000,36,65.1
small_skirmish,126459,16.400,60.98,0.200,0.000,0.000,36,65.1
small_skirmish,126476,16.700,59.88,0.200,0.000,0.000,36,71.7
small_skirmish,126493,16.900,59.17,0.100,0.000,0.000,36,71.7
small_skirmish,126509,16.500,60.61,0.100,0.100,0.000,36,71.7
small_skirmish,126526,16.600,60.24,0.100,0.000,0.000,36,71.7
small_skirmish,126543,16.800,59.52,0.000,0.000,0.000,36,78.3
small_skirmish,126560,16.800,59.52,0.100,0.000,0.000,36,78.3
small_skirmish,126576,16.500,60.61,0.100,0.000,0.000,36,78.3
small_skirmish,126593,16.700,59.88,0.200,0.000,0.000,36,83.3
small_skirmish,126610,16.700,59.88,0.100,0.000,0.000,36,83.3
small_skirmish,126626,16.700,59.88,0.000,0.100,0.000,36,83.3
small_skirmish,126643,16.700,59.88,0.100,0.000,0.000,37,88.3
small_skirmish,126660,16.600,60.24,0.000,0.100,0.000,37,88.3
small_skirmish,126676,16.600,60.24,0.000,0.000,0.000,37,88.3
small_skirmish,126693,16.800,59.52,0.000,0.000,0.000,37,93.2
small_skirmish,126710,16.700,59.88,0.100,0.000,0.000,37,93.2
small_skirmish,126726,16.700,59.88,0.100,0.000,0.000,37,93.2
small_skirmish,126743,16.600,60.24,0.100,0.000,0.000,37,98.2
small_skirmish,126760,17.000,58.82,0.100,0.100,0.000,37,98.2
small_skirmish,126776,16.300,61.35,0.200,0.000,0.000,37,98.2
small_skirmish,126793,16.800,59.52,0.100,0.000,0.000,37,47.8
small_skirmish,126810,16.600,60.24,0.000,0.000,0.000,37,47.8
small_skirmish,126826,16.600,60.24,0.000,0.000,0.000,37,47.8
small_skirmish,126843,16.700,59.88,0.000,0.100,0.000,37,47.8
small_skirmish,126860,16.800,59.52,0.000,0.000,0.000,38,54.4
small_skirmish,126876,16.600,60.24,0.100,0.000,0.000,38,54.4
small_skirmish,126893,16.800,59.52,0.000,0.000,0.000,38,54.4
small_skirmish,126910,16.600,60.24,0.000,0.100,0.000,38,54.4
small_skirmish,126926,16.600,60.24,0.200,0.000,0.000,38,61.0
small_skirmish,126943,16.700,59.88,0.100,0.000,0.000,38,61.0
small_skirmish,126960,16.700,59.88,0.100,0.000,0.000,38,61.0
small_skirmish,126976,16.700,59.88,0.000,0.200,0.000,38,66.0
small_skirmish,126993,16.600,60.24,0.100,0.000,0.000,38,66.0
small_skirmish,127010,16.700,59.88,0.100,0.000,0.000,38,66.0
