scenario,t,dt,fps,updateMs,aiMs,collisionMs,drawCalls,heapUsedMB
large_battle,186944,19.800,50.51,0.100,0.000,0.000,126,92.9
large_battle,186957,12.900,77.52,0.000,0.000,0.000,126,92.9
large_battle,186983,26.100,38.31,0.000,0.000,0.000,126,48.2
large_battle,187001,17.900,55.87,0.100,0.000,0.000,126,48.2
large_battle,187019,18.200,54.95,0.100,0.000,0.000,126,48.2
large_battle,187033,13.900,71.94,0.100,0.000,0.000,126,43.9
large_battle,187047,14.000,71.43,0.100,0.000,0.000,126,43.9
large_battle,187061,13.300,75.19,0.100,0.000,0.000,126,43.9
large_battle,187073,12.800,78.12,0.000,0.100,0.000,126,43.9
large_battle,187095,21.300,46.95,0.100,0.000,0.000,126,54.5
large_battle,187107,12.400,80.65,0.000,0.000,0.000,126,54.5
large_battle,187122,14.700,68.03,0.100,0.000,0.000,124,54.5
large_battle,187138,16.600,60.24,0.100,0.000,0.100,126,54.5
large_battle,187158,19.900,50.25,0.100,0.000,0.000,126,69.1
large_battle,187175,17.200,58.14,0.000,0.100,0.000,126,69.1
large_battle,187189,13.400,74.63,0.100,0.000,0.000,126,69.1
large_battle,187205,16.200,61.73,0.000,0.000,0.000,126,69.1
large_battle,187222,16.700,59.88,0.100,0.000,0.000,126,85.6
large_battle,187238,16.700,59.88,0.000,0.000,0.000,126,85.6
large_battle,187255,16.700,59.88,0.100,0.100,0.000,126,85.6
large_battle,187272,16.700,59.88,0.100,0.100,0.000,124,41.5
large_battle,187293,21.600,46.30,0.100,0.000,0.000,126,41.5
large_battle,187312,18.900,52.91,0.000,0.100,0.000,126,41.5
large_battle,187325,12.800,78.12,0.000,0.000,0.000,126,51.9
large_battle,187340,14.400,69.44,0.000,0.000,0.000,126,51.9
large_battle,187355,15.700,63.69,0.100,0.000,0.000,126,51.9
large_battle,187372,16.700,59.88,0.100,0.000,0.000,126,51.9
large_battle,187389,16.600,60.24,0.100,0.000,0.000,126,68.4
large_battle,187405,16.800,59.52,0.000,0.000,0.000,126,68.4
large_battle,187422,16.600,60.24,0.100,0.100,0.000,126,68.4
large_battle,187441,18.800,53.19,0.100,0.000,0.000,126,80.7
large_battle,187463,21.800,45.87,0.100,0.000,0.000,126,80.7
large_battle,187476,13.600,73.53,0.000,0.100,0.000,126,80.7
large_battle,187489,13.100,76.34,0.000,0.100,0.000,126,80.7
large_battle,187511,21.800,45.87,0.000,0.000,0.000,126,93.3
large_battle,187525,13.600,73.53,0.000,0.100,0.000,126,93.3
large_battle,187546,21.300,46.95,0.100,0.000,0.000,126,93.3
large_battle,187562,15.900,62.89,0.000,0.000,0.000,126,44.3
large_battle,187576,13.700,72.99,0.000,0.000,0.000,126,44.3
large_battle,187589,13.700,72.99,0.100,0.000,0.000,126,44.3
large_battle,187606,17.000,58.82,0.000,0.000,0.000,126,44.3
large_battle,187622,15.900,62.89,0.100,0.000,0.000,126,56.9
large_battle,187639,16.600,60.24,0.100,0.000,0.000,126,56.9
